attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
18701,0.1295530641,0.4051392538,0.2281666009,-0.0220804489,0.0959226478,0.0268058866,594.12828096,0.7464824931,0.071818365
18801,0.1364001432,0.4134156406,0.2229938462,-0.0206017895,0.0931939599,0.0290692271,679.9552696,0.7584549872,0.0778823097
18901,0.1166438272,0.4271930582,0.2312027483,-0.0237662059,0.0902398384,0.0307066652,672.38627054,0.7670933686,0.0822693359
19001,0.141537318,0.4165204701,0.2281294563,-0.0220272225,0.0920766545,0.0323297723,743.90792848,0.7744231663,0.0866179665
19101,0.1096628826,0.4044383994,0.2308105318,-0.0221555662,0.0851472348,0.0320533177,681.83487369,0.7920646243,0.085877289
19201,0.1336233113,0.4018746383,0.2259583278,-0.0205214757,0.0850687983,0.0306145832,767.96027813,0.7939199629,0.0820226297
19301,0.1204091911,0.4173511729,0.2233670363,-0.0233433358,0.0931063602,0.0279769863,622.40399856,0.7477223787,0.0749559768
19401,0.1495836641,0.3929517626,0.2250598498,-0.0204032022,0.0930308806,0.0302956045,702.01712399,0.7727507433,0.0811680215
19501,0.1424652355,0.4160720263,0.2306948032,-0.0196658922,0.0872406613,0.0312710712,806.37325489,0.7920785352,0.0837814932
19601,0.1247370373,0.4090077567,0.2288291452,-0.0222168117,0.0904689295,0.0308663488,670.27270782,0.7726369436,0.0826971604
19701,0.1465793201,0.4120643339,0.228767356,-0.0206616484,0.0922762809,0.0290167694,725.13513585,0.7695318357,0.0777417649
19801,0.1222109328,0.414784102,0.2263357845,-0.0237639534,0.0880369803,0.0276722155,679.85358097,0.7674308321,0.0741394344
19901,0.1224626187,0.4113229353,0.2290328258,-0.0228481344,0.0949532161,0.0281,597.07135833,0.7488888675,0.0752855553
20001,0.1300053517,0.4170291798,0.2307238764,-0.0214735641,0.0925624215,0.0304482373,674.39386334,0.7665320098,0.0815769555
20101,0.1238807982,0.4109134279,0.2276991614,-0.0244608958,0.092492428,0.0267176155,620.59141057,0.7518346305,0.0715818689
20201,0.1138471873,0.4050242094,0.2257033016,-0.0193132215,0.0890484127,0.0280488808,619.02810923,0.7672273911,0.0751485967
20301,0.1256265762,0.429302294,0.2300479543,-0.019330123,0.094147845,0.029813185,655.01054891,0.7565979274,0.0798755227
